Date : 2026-01-06 23:23:00
Directory : c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\
Total : 127 files,  7651 codes, 187 comments, 1977 blanks, all 9815 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        127 |      7,651 |        187 |      1,977 |      9,815 |
+----------+------------+------------+------------+------------+------------+

| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\config\gameclient.h                           | C++      |          3 |          0 |          1 |          4 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\config\var_declare.h                          | C++      |         16 |          0 |          4 |         20 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\emergency\eme_restart.h                       | C++      |         35 |          0 |         12 |         47 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\emergency\eme_shutdown.h                      | C++      |         45 |          0 |         17 |         62 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\icons\bg.h                                    | C++      |          3 |          0 |          1 |          4 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\icons\icon.h                                  | C++      |         23 |          0 |          2 |         25 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\include\BLEAppLib.h                           | C++      |          2 |          0 |          1 |          3 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\include\ComponentLib.h                        | C++      |          8 |          0 |          1 |          9 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\include\CoreLib.h                             | C++      |         17 |          0 |          1 |         18 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\include\EssentialAppLib.h                     | C++      |         19 |          0 |          1 |         20 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\include\SystemCoreLib.h                       | C++      |         13 |          0 |          0 |         13 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\include\UILib.h                               | C++      |          7 |          0 |          2 |          9 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\include\WiFiAppLib.h                          | C++      |         13 |          0 |          2 |         15 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\include\all_.h                                | C++      |         11 |          0 |          2 |         13 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\main.cpp                                      | C++      |        353 |          0 |        116 |        469 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\AT24C256_EEPROM.h                    | C++      |         44 |          0 |         13 |         57 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\BIOS.cpp                             | C++      |        133 |          0 |         21 |        154 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\BIOS.h                               | C++      |         14 |          0 |          5 |         19 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\C3FS\C3FS.cpp                        | C++      |         39 |          0 |         14 |         53 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\C3FS\C3FS.h                          | C++      |         13 |          0 |          4 |         17 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\app.cpp                              | C++      |         66 |          0 |          7 |         73 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\app.h                                | C++      |         25 |          0 |          5 |         30 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\boot\boot.cpp                        | C++      |        516 |          7 |        154 |        677 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\boot\boot.h                          | C++      |          7 |          0 |          4 |         11 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\capability.cpp                       | C++      |         13 |          0 |          4 |         17 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\capability.h                         | C++      |          3 |          0 |          1 |          4 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\esp826.cpp                           | C++      |        116 |          0 |         24 |        140 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\esp826.h                             | C++      |         11 |          0 |          5 |         16 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\handler\anr_handler.h                | C++      |         65 |          0 |         19 |         84 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\lua_l\button_state.cpp               | C++      |          5 |          0 |          1 |          6 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\lua_l\button_state.h                 | C++      |         17 |          0 |          3 |         20 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\lua_l\lua_l.cpp                      | C++      |        279 |         12 |         80 |        371 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\lua_l\lua_l.h                        | C++      |          7 |          0 |          2 |          9 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\memmgmt.h                            | C++      |         88 |          0 |         23 |        111 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\power.cpp                            | C++      |         19 |          0 |          6 |         25 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\power.h                              | C++      |         11 |          0 |          3 |         14 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\power_manager.cpp                    | C++      |        128 |          0 |         32 |        160 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\power_manager.h                      | C++      |         44 |          0 |         19 |         63 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\restart.h                            | C++      |         44 |          0 |         16 |         60 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\shutdown.h                           | C++      |         50 |          0 |         20 |         70 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\state.h                              | C++      |          8 |          0 |          3 |         11 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\syscheck.h                           | C++      |        208 |          0 |         30 |        238 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\ui_manager.cpp                       | C++      |         36 |          0 |         16 |         52 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\ui_manager.h                         | C++      |         16 |          0 |          4 |         20 |
| c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\system16\wrapper.h                            | C++      |         28 |          0 |          6 |         34 |
| Total                                                                                               |          |      7,651 |        187 |      1,977 |      9,815 |
+-----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
